,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
173,24/01/2019,-3°C/1°C,-3°C/1°C,-4°C/0°C,-4°C/0°C,-3°C/1°C
174,25/01/2019,1°C/3°C,-2°C/3°C,1°C/3°C,1°C/3°C,1°C/3°C
175,26/01/2019,6°C/8°C,6°C/8°C,5°C/7°C,5°C/7°C,6°C/8°C
176,27/01/2019,6°C/7°C,5°C/7°C,6°C/7°C,5°C/7°C,6°C/7°C
177,28/01/2019,3°C/6°C,2°C/5°C,2°C/6°C,2°C/6°C,3°C/6°C
178,29/01/2019,2°C/4°C,1°C/3°C,1°C/4°C,1°C/4°C,1°C/4°C
179,30/01/2019,1°C/2°C,0°C/2°C,1°C/2°C,1°C/2°C,1°C/2°C
180,31/01/2019,-1°C/1°C,-6°C/1°C,-3°C/1°C,-3°C/1°C,-2°C/1°C
181,01/07/2019,21°C/26°C,18°C/24°C,20°C/26°C,20°C/26°C,19°C/24°C
182,02/07/2019,20°C/26°C,19°C/26°C,18°C/23°C,18°C/23°C,19°C/24°C
183,03/07/2019,19°C/25°C,18°C/24°C,18°C/24°C,18°C/24°C,18°C/24°C
184,04/07/2019,20°C/28°C,19°C/27°C,18°C/25°C,18°C/25°C,18°C/25°C
185,05/07/2019,24°C/32°C,24°C/34°C,22°C/29°C,22°C/29°C,23°C/30°C
186,06/07/2019,26°C/31°C,25°C/29°C,24°C/30°C,24°C/30°C,24°C/29°C
187,07/07/2019,21°C/28°C,20°C/27°C,20°C/26°C,20°C/26°C,21°C/26°C
188,08/07/2019,18°C/23°C,18°C/23°C,17°C/22°C,17°C/22°C,18°C/23°C
189,09/07/2019,17°C/23°C,17°C/23°C,16°C/21°C,16°C/21°C,16°C/23°C
190,10/07/2019,21°C/27°C,21°C/27°C,20°C/25°C,20°C/25°C,21°C/26°C
191,11/07/2019,21°C/27°C,22°C/26°C,20°C/24°C,20°C/24°C,22°C/26°C
192,12/07/2019,20°C/25°C,19°C/24°C,20°C/24°C,20°C/24°C,18°C/25°C
193,13/07/2019,21°C/25°C,21°C/25°C,20°C/24°C,20°C/24°C,20°C/24°C
194,14/07/2019,16°C/23°C,16°C/22°C,16°C/22°C,16°C/22°C,16°C/22°C
195,15/07/2019,17°C/24°C,17°C/23°C,17°C/22°C,17°C/22°C,17°C/22°C
196,16/07/2019,21°C/27°C,20°C/26°C,19°C/24°C,19°C/24°C,18°C/26°C
197,17/07/2019,24°C/29°C,22°C/28°C,22°C/27°C,22°C/27°C,23°C/28°C
198,18/07/2019,21°C/24°C,18°C/23°C,21°C/24°C,21°C/24°C,18°C/23°C
199,19/07/2019,21°C/27°C,20°C/26°C,20°C/27°C,20°C/27°C,19°C/26°C
200,20/07/2019,23°C/26°C,21°C/25°C,22°C/26°C,22°C/26°C,22°C/25°C
201,21/07/2019,22°C/29°C,20°C/27°C,21°C/28°C,21°C/28°C,20°C/26°C
202,22/07/2019,27°C/35°C,26°C/34°C,25°C/32°C,25°C/32°C,26°C/34°C
203,23/07/2019,29°C/36°C,27°C/36°C,27°C/35°C,27°C/35°C,27°C/35°C
204,24/07/2019,31°C/38°C,29°C/36°C,30°C/38°C,30°C/38°C,28°C/35°C
205,25/07/2019,32°C/40°C,32°C/40°C,31°C/39°C,31°C/39°C,32°C/40°C
